epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,106.661,1.20387,0.88202,1.22497,0.98157,1,0.995,0.66804,1.22628,0.77155,1.21952,0.000802,0.000802,0.000802
14,112.008,1.21054,0.91931,1.21669,0.97663,0.99231,0.995,0.64743,1.27776,0.73691,1.23401,0.0007855,0.0007855,0.0007855
15,121.351,1.21055,0.89359,1.21252,0.99022,0.9934,0.995,0.65585,1.23766,0.66203,1.25746,0.000769,0.000769,0.000769
16,125.938,1.19464,0.85644,1.20111,0.9662,0.99216,0.99441,0.67801,1.17862,0.69617,1.19383,0.0007525,0.0007525,0.0007525
17,133.422,1.15578,0.83614,1.18347,0.98873,0.99287,0.995,0.61021,1.37537,0.69423,1.38009,0.000736,0.000736,0.000736
18,139.353,1.17035,0.82766,1.20165,0.97318,0.99805,0.995,0.67907,1.1659,0.63321,1.19203,0.0007195,0.0007195,0.0007195
19,147.078,1.1303,0.81341,1.1582,0.98451,1,0.995,0.69168,1.12736,0.59627,1.18376,0.000703,0.000703,0.000703
20,152.347,1.16586,0.79641,1.19272,0.97552,0.99508,0.995,0.68377,1.169,0.64642,1.20362,0.0006865,0.0006865,0.0006865
21,159.844,1.15127,0.78624,1.16911,0.93407,0.98095,0.99382,0.64862,1.28577,0.72506,1.23846,0.00067,0.00067,0.00067
22,166.283,1.12723,0.78966,1.16468,0.97319,0.97976,0.99441,0.68314,1.15458,0.63326,1.15387,0.0006535,0.0006535,0.0006535
23,174.19,1.13628,0.78743,1.18555,0.98759,0.98888,0.99441,0.70078,1.09698,0.61607,1.15713,0.000637,0.000637,0.000637
24,179.209,1.13665,0.75455,1.16566,0.96557,0.99654,0.995,0.68221,1.2147,0.64055,1.21889,0.0006205,0.0006205,0.0006205
25,187.69,1.09903,0.74324,1.14787,0.98976,0.99774,0.995,0.70107,1.08016,0.57727,1.15392,0.000604,0.000604,0.000604
26,193.304,1.08808,0.72735,1.14872,0.98615,1,0.995,0.70592,1.10766,0.55219,1.1783,0.0005875,0.0005875,0.0005875
27,200.489,1.07966,0.72959,1.14351,0.98681,1,0.995,0.69031,1.18594,0.56257,1.19906,0.000571,0.000571,0.000571
28,207.022,1.06104,0.70348,1.12985,0.98405,1,0.995,0.70782,1.08923,0.55347,1.15586,0.0005545,0.0005545,0.0005545
29,215.312,1.05245,0.71961,1.14554,0.98928,1,0.995,0.71546,1.05869,0.53488,1.14226,0.000538,0.000538,0.000538
30,220.852,1.05928,0.70511,1.1527,0.99166,0.99956,0.995,0.69497,1.11494,0.52536,1.16463,0.0005215,0.0005215,0.0005215
31,228.72,1.0659,0.7,1.13455,0.98834,0.99807,0.995,0.69517,1.12058,0.5344,1.16728,0.000505,0.000505,0.000505
32,237.117,1.0621,0.69486,1.13845,0.99344,0.99798,0.995,0.71026,1.07986,0.50133,1.13848,0.0004885,0.0004885,0.0004885
33,243.776,1.0392,0.66805,1.12567,0.98869,1,0.995,0.71307,1.06576,0.50434,1.13545,0.000472,0.000472,0.000472
34,251.353,1.05746,0.68456,1.11536,0.99137,0.99309,0.995,0.69942,1.12886,0.50664,1.16769,0.0004555,0.0004555,0.0004555
35,256.304,1.02442,0.66964,1.13027,0.98457,0.99385,0.995,0.71399,1.09756,0.49329,1.15006,0.000439,0.000439,0.000439
36,265.093,1.05607,0.67861,1.13425,0.99036,0.99655,0.995,0.70662,1.08794,0.49838,1.14196,0.0004225,0.0004225,0.0004225
37,270.966,1.01929,0.66809,1.1174,0.98257,0.99461,0.995,0.7089,1.06776,0.47771,1.13464,0.000406,0.000406,0.000406
38,277.678,1.03413,0.658,1.1188,0.98587,0.99359,0.995,0.71604,1.09032,0.47591,1.1467,0.0003895,0.0003895,0.0003895
39,283.556,1.04898,0.66214,1.12639,0.99228,1,0.995,0.70924,1.08,0.47885,1.14653,0.000373,0.000373,0.000373
40,291.283,1.0398,0.64234,1.13503,0.99217,1,0.995,0.70101,1.10517,0.48216,1.14502,0.0003565,0.0003565,0.0003565
41,296.949,1.02771,0.63266,1.11251,0.99176,1,0.995,0.70887,1.09831,0.47805,1.14289,0.00034,0.00034,0.00034
42,303.937,1.00686,0.64613,1.10356,0.99365,1,0.995,0.70331,1.10001,0.46874,1.1454,0.0003235,0.0003235,0.0003235
43,309.339,0.99102,0.63304,1.11624,0.99371,1,0.995,0.71842,1.0941,0.45741,1.1395,0.000307,0.000307,0.000307
44,319.129,1.01951,0.62329,1.11051,0.99419,1,0.995,0.71128,1.06964,0.44754,1.12997,0.0002905,0.0002905,0.0002905
45,324.512,0.99451,0.61614,1.1057,0.99319,1,0.995,0.71142,1.06226,0.4479,1.13495,0.000274,0.000274,0.000274
46,332.016,1.02225,0.62559,1.10659,0.98819,0.99964,0.995,0.71342,1.05327,0.45171,1.13197,0.0002575,0.0002575,0.0002575
47,338.089,1.0061,0.62352,1.11081,0.98547,0.99699,0.995,0.72021,1.04763,0.45215,1.12722,0.000241,0.000241,0.000241
48,345.033,0.99534,0.60586,1.10348,0.98663,1,0.995,0.72306,1.04597,0.4426,1.13086,0.0002245,0.0002245,0.0002245
49,352.812,1.00525,0.61761,1.11292,0.98956,1,0.995,0.72516,1.02769,0.43209,1.12423,0.000208,0.000208,0.000208
50,358.956,0.99351,0.60053,1.08351,0.99399,1,0.995,0.73276,1.01798,0.42849,1.11299,0.0001915,0.0001915,0.0001915
51,386.09,0.95378,0.61948,1.0773,0.99416,1,0.995,0.73562,1.01932,0.44825,1.10331,0.000175,0.000175,0.000175
52,399.479,0.92008,0.60071,1.08055,0.99121,1,0.995,0.72968,1.00771,0.51357,1.09842,0.0001585,0.0001585,0.0001585
53,410.095,0.92437,0.5994,1.07993,0.99163,1,0.995,0.72654,1.00879,0.49953,1.10751,0.000142,0.000142,0.000142
54,416.043,0.91797,0.58684,1.06525,0.98294,1,0.995,0.71357,1.01101,0.46524,1.10957,0.0001255,0.0001255,0.0001255
55,423.495,0.93115,0.5707,1.05407,0.98025,1,0.995,0.71942,1.0234,0.45833,1.10719,0.000109,0.000109,0.000109
56,429.623,0.91385,0.56235,1.0616,0.98667,1,0.995,0.71584,1.02303,0.45139,1.10272,9.25e-05,9.25e-05,9.25e-05
57,438.141,0.90458,0.56254,1.06804,0.9896,1,0.995,0.71454,1.01279,0.44139,1.0993,7.6e-05,7.6e-05,7.6e-05
58,443.272,0.9249,0.56516,1.06208,0.99132,1,0.995,0.71896,1.01025,0.43418,1.10048,5.95e-05,5.95e-05,5.95e-05
59,450.673,0.91573,0.55219,1.05864,0.99161,1,0.995,0.71966,1.01111,0.43118,1.10111,4.3e-05,4.3e-05,4.3e-05
60,456.399,0.88547,0.53959,1.04345,0.99217,1,0.995,0.72149,1.01368,0.4275,1.10133,2.65e-05,2.65e-05,2.65e-05
